listing_id,host_id,host_name,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,city,neighbourhood,district,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,amenity_score,number_of_reviews,review_scores_rating,license,instant_bookable,monthly_earning_€,type
50785526,287591209,Seth,1.0,1.0,F,0,0,T,Madrid,Palos de Moguer,Arganzuela,40.4033,-3.69527,Private room,2,1,1,1,4,1,5.0,T,T,1264.725,airbnb
50802638,410610880,Andres Eduardo,0.67,0.5,F,0,0,T,Madrid,Simancas,San Blas - Canillejas,40.43354,-3.6239,Private room,1,1,1,0,0,0,0.0,T,F,24.75,airbnb
50819503,80524799,Carlos,1.0,0.75,F,0,0,T,Madrid,Goya,Salamanca,40.42744,-3.66931,Entire place,2,1,1,1,4,1,5.0,T,F,1492.425,airbnb
50830143,17185152,Carlos,1.0,0.0,F,0,0,T,Madrid,Castillejos,Tetuán,40.46255,-3.69639,Entire place,4,1,2,2,2,0,0.0,T,T,308.88,airbnb
50842944,9786135,Carlos,1.0,1.0,F,0,0,T,Madrid,Trafalgar,Chamberí,40.43242,-3.69942,Entire place,3,1,2,2,0,6,4.67,T,F,1558.63125,airbnb
50850136,254408594,Wassime,0.0,0.0,F,0,0,F,Madrid,Justicia,Centro,40.42058,-3.69894,Entire place,2,1,1,1,1,0,0.0,T,F,2539.35,airbnb
50862871,3006958,Rosa,1.0,0.0,F,0,0,T,Madrid,San Cristobal,Villaverde,40.34339,-3.68672,Private room,2,1,1,1,0,0,0.0,T,T,801.57,airbnb
50876536,411351313,Maria,0.0,0.0,F,0,0,F,Madrid,Universidad,Centro,40.42812,-3.70438,Entire place,1,1,2,1,0,1,1.0,T,F,555.3900000000001,airbnb
50943996,411753435,Marcos,0.5,0.67,F,2,2,T,Madrid,Sol,Centro,40.41971,-3.69989,Private room,2,3,1,0,0,0,0.0,T,F,970.2,airbnb
50967870,165713024,Danny,0.95,1.0,F,1,1,F,Madrid,Cortes,Centro,40.4171,-3.69974,Private room,1,1,1,1,1,10,4.5,T,T,432.87750000000005,airbnb
50987572,411712870,Gerardo,0.0,0.0,F,1,1,T,Madrid,Cármenes,Latina,40.39643,-3.74343,Private room,2,2,1,1,0,0,0.0,T,F,86.13,airbnb
50994475,154232554,Rosita,0.86,1.0,F,0,0,F,Madrid,Numancia,Puente de Vallecas,40.3989,-3.65456,Private room,1,1,1,1,0,1,5.0,T,T,17.82,airbnb
50998939,104922151,Oscar,1.0,1.0,F,0,0,T,Madrid,Salvador,San Blas - Canillejas,40.4444,-3.61712,Private room,2,1,1,1,1,1,5.0,T,T,757.3499999999999,airbnb
51030283,36635052,Senén,0.83,0.5,F,0,0,F,Madrid,Universidad,Centro,40.4285,-3.70574,Entire place,2,1,1,1,1,0,0.0,T,F,1197.9,airbnb
51037131,410089579,Eva,0.6,0.92,F,3,3,F,Madrid,Embajadores,Centro,40.40794,-3.69325,Private room,2,1,1,1,1,0,0.0,T,F,99.0,airbnb
51057250,100336740,Victoria&Fer,0.4,1.0,F,50,50,T,Madrid,Cuatro Caminos,Tetuán,40.45189,-3.70061,Entire place,2,1,1,1,2,0,0.0,T,T,10877.295,airbnb
