id,host_id,host_name,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,city,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,price_€,room_type,accommodates,bathrooms,bedrooms,beds,lift,heating,aircon,exterior,garden,pool,terrace,balcony,storage,amenity_score,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,reviews_per_month
35179201,264919298,Jonathan,0.0,0.0,F,1,1,T,Madrid,Palacio,Centro,40.41103,-3.71189,174.24,Entire place,5,1,2,5,0,0,1,0,0,0,0,0,0,1,1,1125,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T,T,0.0
35209734,265112679,Luz Elena,0.0,0.0,F,1,1,F,Madrid,Orcasitas,Usera,40.37183,-3.71901,495.0,Private room,4,1,2,3,1,0,1,0,0,0,0,0,0,2,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T,T,0.0
35210003,71864789,Berta,0.0,0.0,F,1,1,F,Madrid,Palacio,Centro,40.4216,-3.71231,297.0,Private room,2,1,1,1,0,0,0,0,0,0,0,0,0,0,2,1125,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T,T,0.0
35179676,49642687,Mark,1.0,1.0,F,1,1,T,Madrid,Palos de Moguer,Arganzuela,40.40377,-3.69609,14.85,Private room,2,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1125,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,T,F,1.0
35210074,13812935,Borja,0.0,0.0,F,1,1,T,Madrid,Castillejos,Tetuán,40.45903,-3.69765,53.46,Entire place,2,1,1,1,0,0,0,0,0,0,0,0,0,0,2,7,8,4.88,5.0,5.0,5.0,5.0,4.88,4.5,T,F,0.24
35210337,265119984,Diego,0.0,0.0,F,1,1,F,Madrid,Simancas,San Blas - Canillejas,40.43532,-3.61878,1485.0,Entire place,4,3,2,3,1,0,1,0,0,1,0,0,0,3,2,1125,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T,T,0.0
35180905,262080628,Esther,0.0,0.0,F,1,1,T,Madrid,Universidad,Centro,40.42659,-3.70443,128.7,Entire place,2,1,1,2,0,0,0,0,0,0,0,1,0,1,3,1125,4,4.5,4.75,4.75,5.0,5.0,5.0,4.5,T,T,0.11
35181139,264932171,José Luis,0.0,0.0,F,1,1,F,Madrid,Canillejas,San Blas - Canillejas,40.44506,-3.6099,990.0,Entire place,5,1,4,5,1,0,0,0,0,0,0,0,0,1,1,1125,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T,T,0.0
35181153,191200210,Paulina,0.0,0.0,F,2,2,T,Madrid,Puerta del Angel,Latina,40.41111,-3.72918,118.8,Private room,2,1,1,1,0,0,0,0,0,0,0,0,0,0,2,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T,T,0.0
35181747,45832354,Edward,0.0,0.0,F,1,1,F,Madrid,Embajadores,Centro,40.41382,-3.70568,297.0,Private room,3,1,1,2,1,0,0,0,0,0,0,0,0,1,1,1125,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T,T,0.0
